Designator,Mid X,Mid Y,Rotation,Layer
C1,41.4,-19.975,90.0,top
C14,19.21,-34.23,270.0,top
C15,19.21,-31.17,90.0,top
C16,92.6325,-39.86,90.0,top
C17,95.5125,-39.88,270.0,top
C18,89.12,-44.74,180.0,top
C19,89.67,-55.96,180.0,top
C2,31.41,-32.81,90.0,top
C20,92.72,-55.96,0.0,top
C21,85.6,-48.83,90.0,top
C22,49.28,-65.69,90.0,top
C23,49.24,-68.85,90.0,top
C24,85.6,-51.88,90.0,top
C25,98.1425,-46.61,90.0,top
C26,98.1425,-49.71,270.0,top
C3,67.03,-46.93,270.0,top
C4,75.44,-48.53,270.0,top
C5,75.44,-45.4,90.0,top
C6,41.4,-23.05,270.0,top
C7,45.43,-29.69,0.0,top
C8,112.5,-35.45,270.0,top
C9,112.48,-32.33,90.0,top
D1,70.03,-19.965,0.0,top
D2,66.51,-42.53,0.0,top
D3,64.05,-19.97,0.0,top
J2,115.55,-68.11,270.0,top
J3,15.0,-48.44,0.0,top
J5,116.36,-47.56,0.0,top
J6,34.0,-22.63,180.0,top
Q1,35.41,-37.32,270.0,top
Q2,35.39,-32.66,90.0,top
Q3,66.47,-37.68,90.0,top
R1,69.11,-22.955,90.0,top
R10,63.12,-22.955,270.0,top
R11,26.5,-32.8,90.0,top
R2,72.18,-35.86,180.0,top
R3,64.23,-46.98,270.0,top
R4,26.325,-19.975,90.0,top
R5,26.325,-23.025,270.0,top
R6,92.6525,-42.95,90.0,top
R7,95.5225,-42.96,90.0,top
R8,98.93,-52.19,0.0,top
R9,71.36,-41.695,90.0,top
SW1,56.25,-20.85,180.0,top
SW2,59.1,-76.3,0.0,top
U1,36.65,-61.97,180.0,top
U2,44.03,-34.59,180.0,top
U3,76.4,-34.92,0.0,top
U4,71.15,-47.1275,180.0,top
U5,91.86,-50.34,270.0,top
